-6.796536662,-70.426330047
-6.794960012,-70.424758129
-6.793152058,-70.42361283
-6.791024438,-70.423031176
-6.78908198,-70.422850552
-6.787099655,-70.423015915
-6.785362886,-70.423628711
-6.783706123,-70.424739308
-6.78231511,-70.426477531
-6.781282982,-70.428210292
-6.780508035,-70.429982725
-6.779613147,-70.431398117
-6.778693702,-70.432524781
-6.777463471,-70.433719066
-6.775826247,-70.434602295
-6.774108132,-70.435318905
-6.772395692,-70.436119283
-6.770590216,-70.437016281
-6.768679005,-70.437612216
-6.766954413,-70.437884181
-6.765040388,-70.437880647
-6.763734767,-70.436658514
-6.762897008,-70.434799487
-6.762867587,-70.432741144
-6.763077758,-70.43091124
-6.76359343,-70.429151779
-6.764540804,-70.427527019
-6.765772737,-70.426102363
-6.767298365,-70.424965362
-6.768992257,-70.424319247
-6.770682444,-70.423921794
-6.772413573,-70.423682686
-6.774097412,-70.42348236
-6.775779564,-70.422976799
-6.77753696,-70.422345361
-6.77948356,-70.421735484
-6.78109669,-70.420856361
-6.78239649,-70.419754422
-6.783832032,-70.418503142
-6.785490952,-70.417691283
-6.787149294,-70.416831038
-6.788730773,-70.41570102
-6.789978524,-70.414564802
-6.791031217,-70.413079448
-6.791460732,-70.411191526
-6.790922275,-70.409452889
-6.789749392,-70.408201924
-6.788399407,-70.40753149
